Page 3 | Additional parameter | Rect(129.16299438476562, 698.1799926757812, 279.1629943847656, 720.1802978515625)
Page 4 | Text43 | Rect(222.10899353027344, 132.218017578125, 372.1090087890625, 154.218017578125)
Page 4 | Text44 | Rect(221.23599243164062, 207.27197265625, 371.2359924316406, 229.27197265625)
Page 4 | Text45 | Rect(220.36300659179688, 281.4540100097656, 370.3630065917969, 303.4540100097656)
Page 4 | Text46 | Rect(220.7989959716797, 356.50799560546875, 370.79901123046875, 378.50799560546875)
Page 4 | Text48 | Rect(222.5449981689453, 507.0530090332031, 372.5450134277344, 529.052978515625)
Page 4 | Text49 | Rect(222.10899353027344, 583.4169921875, 372.1090087890625, 605.4169921875)
Page 4 | Text50 | Rect(222.9810028076172, 657.5989990234375, 372.9809875488281, 679.5989990234375)
Page 5 | Text55 | Rect(215.1269989013672, 349.5270080566406, 365.12701416015625, 371.5270080566406)
Page 5 | Text57 | Rect(211.63600158691406, 459.489990234375, 361.635986328125, 481.489990234375)
Page 5 | Text59 | Rect(214.25399780273438, 569.0169677734375, 364.2539978027344, 591.0169677734375)
Page 5 | Text61 | Rect(212.94500732421875, 678.5440063476562, 362.94500732421875, 700.5440063476562)
Page 6 | Text62 | Rect(62.83620071411133, 174.54498291015625, 212.83599853515625, 196.54498291015625)
Page 8 | Text79 | Rect(243.927001953125, 564.2169799804688, 393.927001953125, 586.2169799804688)
Page 8 | Text80 | Rect(243.927001953125, 600.4349975585938, 393.927001953125, 622.4349975585938)
Page 8 | Text81 | Rect(244.36300659179688, 638.8350219726562, 394.3630065917969, 660.8350219726562)
Page 8 | Text82 | Rect(246.10899353027344, 670.2529907226562, 396.1090087890625, 692.2529907226562)
Page 8 | Text83 | Rect(245.23599243164062, 706.0347900390625, 395.2359924316406, 728.0347900390625)
Page 9 | Text123 | Rect(160.14500427246094, 692.5079956054688, 310.1449890136719, 714.5075073242188)
Page 9 | Text124 | Rect(258.76300048828125, 691.197998046875, 408.76300048828125, 713.1984252929688)
Page 9 | Text125 | Rect(356.50799560546875, 692.5079956054688, 506.50799560546875, 714.5075073242188)
Page 9 | Text126 | Rect(455.9989929199219, 692.5079956054688, 605.9990234375, 714.5075073242188)
Page 10 | Text143 | Rect(61.09080123901367, 285.8179931640625, 211.09100341796875, 307.8179931640625)
Page 10 | Text148 | Rect(59.345298767089844, 403.635009765625, 209.34500122070312, 425.635009765625)
Page 10 | Text149 | Rect(59.781700134277344, 587.781005859375, 209.78199768066406, 609.781005859375)
Page 11 | Text151 | Rect(63.27259826660156, 344.72698974609375, 213.2729949951172, 366.72698974609375)
